prn (keVnr) 	 qi (keVee) 
14.322223   11.324707
16.631785   9.998147
2.555845   1.903642
8.437559   4.665502
14.603035   9.334338
3.063003   0.348737
7.127035   4.620243
4.541628   3.178232
8.541026   6.056843
17.419500   10.832889
16.978763   10.724430
16.694772   10.526658
16.569372   9.995844
13.269185   8.901199
15.637797   9.782492
17.145940   10.524797
13.094960   7.649547
10.293779   6.599617
16.601721   9.689048
5.298597   3.006226
6.470838   4.038075
14.402689   10.081265
15.839717   10.953764
4.828424   2.508904
7.113972   3.754751
2.538139   1.574316
5.171857   0.031238
11.383234   6.503874
4.553469   2.807634
15.317260   10.880480
18.403786   6.353994
16.513118   10.665491
16.679340   11.395343
5.646168   3.864206
5.004805   2.684017
12.787236   8.610487
15.526777   9.966463
17.013260   10.364544
3.775539   0.137614
15.809462   10.328425
19.856110   13.444217
14.441971   9.772277
16.947620   10.403921
16.477219   10.658811
3.477795   0.705835
16.203027   10.437512
2.907093   0.792117
12.760423   5.190506
8.656504   6.825035
13.099254   8.666410
3.779128   2.532721
6.307106   3.347700
18.227958   10.834427
13.675061   5.721273
10.208300   6.387875
14.115250   8.557572
16.520299   10.936513
7.345946   0.009469
16.403745   10.722756
10.603452   7.366729
5.916211   2.564692
17.164351   10.434685
17.221379   10.277843
18.947247   11.254256
6.971629   4.603635
11.246820   4.811382
18.030842   0.700407
2.282880   1.394600
10.609023   3.883573
16.032342   10.793795
3.873057   2.382618
13.700075   8.754427
13.112692   7.776582
19.334521   14.510906
7.533996   4.870703
15.742106   10.114937
9.529066   6.647709
9.885073   6.772526
2.600307   1.167254
3.566766   0.376324
14.771327   10.348402
8.161082   0.375684
6.585596   4.153432
17.580745   4.715671
14.191948   9.992754
16.670927   10.956949
11.732354   2.059050
4.075752   1.843536
11.770078   6.625392
15.323190   10.804371
3.116109   0.306803
6.577271   3.922981
11.700721   7.098910
4.902257   3.595933
15.424429   9.096377
5.145454   3.805299
9.312930   6.244393
8.153475   4.186639
7.433813   5.068101
19.961953   13.614443
10.718406   7.033555
17.948577   12.634104
18.338020   12.488023
15.204329   9.374962
3.286959   1.607070
5.563242   3.104056
18.443698   11.646682
18.870975   11.825590
16.910388   10.428339
19.738338   11.927976
9.149228   6.625445
18.852916   12.065695
17.170805   10.807559
3.964443   -0.011794
16.419602   3.606659
15.632962   11.112399
4.317513   3.395005
16.130529   10.128507
16.134454   10.360346
9.135148   4.918327
3.858158   2.064002
7.011999   1.027846
17.389048   11.561375
19.913273   12.803938
14.443080   8.838810
7.400143   5.249308
12.320999   8.112745
2.067594   1.277074
16.657673   9.576690
4.514016   1.159166
3.282636   1.629663
9.557133   5.599224
14.561845   8.909231
7.955632   5.201991
13.255154   8.671533
4.492254   2.071067
16.389017   10.035289
15.324404   3.639145
2.469820   1.683679
16.627786   10.939554
2.774079   1.474668
16.839928   10.820199
16.406349   10.246425
17.148808   10.124579
19.260125   12.629867
7.674286   4.321474
4.646388   2.472694
3.662587   2.170155
3.220584   1.329447
12.297970   7.647415
2.247510   -0.079223
2.311236   0.788815
2.872774   0.984692
2.072000   0.866550
5.046989   3.598365
13.735075   10.040493
3.040631   1.408175
14.701547   10.472913
6.785649   4.223358
7.623968   4.387249
14.277287   9.635346
17.404203   11.913002
18.221275   11.900063
18.653408   12.860497
12.096691   7.536167
3.474460   0.471235
8.153556   4.979579
8.516632   4.610203
3.332385   1.782717
2.235735   1.138182
5.743353   4.267468
3.537508   1.157572
13.211074   4.942122
16.249569   3.851007
5.863107   4.225281
18.482186   11.872657
16.487492   10.883306
9.576297   5.726198
6.057836   2.522604
11.203867   7.290901
5.124410   3.404699
10.562610   6.744097
5.345603   3.385317
6.584397   4.401910
2.714109   0.177515
17.048954   10.369908
16.014875   9.831348
2.751490   1.291123
15.579765   10.715377
14.162258   9.538026
12.720544   7.747355
3.150717   0.818004
14.874521   10.655253
4.914778   0.801459
16.449748   10.245016
10.444934   7.473404
7.741501   5.748849
14.124348   10.406029
2.208391   1.289772
16.193326   10.594480
2.015060   0.722623
19.468590   12.689127
17.057393   10.700542
13.839353   8.904802
14.736668   10.734324
2.787245   2.108790
10.924113   6.483631
16.352938   10.385717
17.845318   10.247603
16.140053   10.151983
3.298950   1.323074
15.581550   8.085042
8.651051   5.115089
2.940629   0.207840
10.502788   5.917981
16.765152   10.628775
9.781375   5.996737
17.998879   10.150467
3.783218   0.615423
8.839427   5.297814
3.764250   2.810667
17.334067   10.500272
19.407870   11.505169
5.755121   0.665505
11.696235   6.227508
9.798328   6.137892
16.147927   10.746603
6.977487   3.356005
18.135452   10.319166
8.963677   5.535237
10.611239   7.514641
16.968745   10.374074
15.689229   10.510995
15.427232   10.115555
14.731568   10.459617
14.504272   8.657784
5.768028   0.350641
8.494455   5.887957
2.233734   1.445733
8.447658   3.707495
2.207428   -0.018393
17.545136   7.877788
15.409825   10.183563
16.101094   9.128998
13.714018   2.292801
17.088462   10.512615
2.821213   0.747082
6.881110   4.304109
19.377245   6.770284
2.688901   1.080317
17.039370   10.277656
19.602992   13.244572
5.112014   0.082257
16.641404   9.676619
14.185098   10.473624
3.854783   0.442584
6.054086   0.511409
2.570546   1.859493
16.613036   10.340528
14.607437   8.636867
16.732418   10.324151
11.425388   6.475451
3.022550   0.966807
16.472431   10.657622
10.165667   7.017723
15.763860   10.456759
2.350968   1.206453
10.569634   6.277960
8.991485   2.023787
17.516559   9.975029
9.208873   6.106519
13.530464   6.088031
17.999185   11.167041
9.059467   6.339626
18.070950   12.389236
7.060091   2.585522
9.409990   5.513357
16.216771   10.701601
17.488741   10.461372
15.721799   10.955164
6.066970   3.509955
5.587844   3.703842
14.592976   8.359622
15.037245   10.267531
7.241530   4.507120
14.231119   8.353562
15.950354   10.214889
9.516585   5.609031
12.108977   7.905431
7.084545   0.117370
16.057820   10.753464
9.397341   6.611827
15.711040   10.783428
12.695991   7.743668
15.837765   9.689487
14.619194   10.418038
14.799466   8.517784
14.713197   10.452686
14.553365   9.721275
11.119261   6.689421
2.585431   1.444535
4.013209   0.664922
17.252982   11.491341
18.648680   12.128893
17.048536   11.929553
11.928883   2.821461
18.024156   10.568040
9.863099   6.328318
10.883408   6.287474
5.078728   0.221956
5.945014   2.260662
10.072643   0.903589
6.540280   4.035536
17.363929   10.506221
8.272555   5.293536
12.211797   7.570886
4.511544   2.353259
5.430331   3.190718
12.677933   8.081177
11.838943   7.110898
16.352647   11.171819
17.180850   10.591138
8.717560   3.284826
14.360867   11.001986
13.086692   8.849123
2.352320   0.365853
2.567909   1.908352
14.279432   5.319852
4.772321   0.995344
13.975952   8.256679
16.936979   10.022065
4.370656   2.525905
11.863698   7.553472
12.457265   7.859490
11.961878   0.774301
16.145019   10.193480
15.710956   1.114469
19.051478   11.433977
17.661342   11.199687
6.291606   3.581071
13.911019   8.998304
15.861085   9.651396
10.870882   6.212071
16.951369   10.958222
2.655947   0.158916
9.837451   5.087396
7.989416   1.309204
15.261227   10.506790
13.471101   8.521735
7.624298   3.838094
16.737403   9.865032
16.286713   11.458218
11.986900   7.359287
2.182675   0.937642
8.359100   5.211536
2.403267   1.279595
2.017435   0.603810
6.339174   0.214314
11.556707   6.914713
2.139711   0.351321
19.948653   13.140995
16.840299   11.066630
11.033656   5.987924
11.971785   7.165502
8.831699   1.223429
3.275631   0.598990
8.122321   5.800736
17.167684   10.766831
10.866558   7.964830
2.906780   1.524002
14.749538   9.809514
3.287104   -0.036912
15.922486   10.439589
5.801744   3.048230
4.637618   2.489062
3.440699   1.357031
16.747933   10.367046
2.301456   0.077357
18.892773   8.637188
6.261068   3.808300
11.904931   7.215088
10.907030   5.398530
17.829248   12.192288
10.479744   6.645618
2.607356   1.972412
4.196415   2.625391
6.193902   3.592119
14.433591   10.147084
2.537522   0.602972
6.940574   4.195934
17.764049   10.505890
16.337757   10.062404
11.506753   6.236332
16.563374   9.871026
16.566530   10.320259
13.904078   8.424503
14.855709   10.392374
2.414823   1.394235
17.249895   10.601716
11.197028   7.632840
15.767712   9.158845
15.827560   10.821521
16.596731   10.538741
15.758120   10.477493
3.191951   0.107009
16.202587   10.939923
11.027778   6.800077
15.885335   10.736491
17.098893   9.919322
17.214006   9.980190
17.141184   10.963480
16.092003   10.468702
7.169989   3.712050
4.165430   3.122035
16.638758   10.341834
11.973658   7.985491
15.419543   10.736815
16.207291   9.920743
13.281250   8.088807
16.914724   10.454147
12.439790   8.728222
17.544404   10.554408
17.101048   11.072950
15.494842   10.720904
14.343076   8.628354
15.445695   10.497521
3.784041   2.544033
3.616559   0.705653
10.090177   2.666976
2.388867   1.647255
8.573688   3.776124
17.344193   10.541265
19.246935   12.627610
3.311488   2.368821
15.783126   10.545479
10.994021   6.891057
9.685853   6.299957
15.390722   10.944839
8.293684   4.625116
6.420975   4.224572
18.284826   11.713130
16.642269   10.451394
17.922203   10.907368
16.282757   10.542164
2.528405   0.160404
19.779600   12.417678
12.987133   9.395104
3.816349   0.218980
17.155109   10.638350
2.006520   0.071696
2.119417   1.150953
10.853426   6.855411
17.464326   10.184705
4.613186   -0.082238
16.735749   10.804779
16.397220   10.354570
6.555099   3.941857
17.135251   9.903292
7.240705   5.253936
16.764320   10.201442
19.353323   14.599660
14.925977   10.592395
14.680210   10.377976
3.226756   1.984836
16.619947   9.976281
12.883232   7.278312
17.237786   10.623040
15.061618   10.081326
16.962063   10.254224
19.162266   11.547859
3.221376   1.837384
15.229447   9.013165
15.141220   10.801952
15.100664   11.388447
5.745781   3.672969
17.588746   11.012174
15.424606   9.925734
2.351641   1.661806
4.139208   1.948668
3.915472   0.295278
14.849967   10.467325
2.211172   1.175978
5.661453   3.406590
17.515568   10.018230
7.776291   5.076143
10.649968   6.634466
16.431043   10.576771
4.160195   2.636967
16.903788   9.897616
14.513848   8.674975
2.626288   0.389792
2.258793   1.129244
2.396173   0.644256
19.662923   12.700951
6.970751   1.087171
19.657538   12.704236
6.930472   5.007944
7.354934   4.867462
17.313386   9.995309
17.132326   9.587780
11.428500   7.646590
16.614444   10.504246
15.790572   9.793966
17.044046   7.806735
3.290060   1.060294
16.935483   10.084212
4.641217   2.379001
3.197775   2.012767
16.290958   9.905707
4.844714   2.076186
15.748860   10.383609
4.003228   2.800034
5.171838   3.019678
16.817067   10.198755
16.055819   9.653055
11.314068   8.303067
9.416497   0.308912
6.871710   4.648544
3.677883   2.380847
10.913908   7.021449
15.590856   10.566587
8.513810   5.550252
3.127070   1.367085
12.272963   6.813273
5.454199   1.878310
16.916644   9.665090
13.089088   8.786155
15.328006   10.301107
3.483089   1.175234
4.953129   1.890291
10.947277   5.564642
16.239393   9.427272
12.967184   9.242727
13.615433   8.320430
8.169479   4.494605
7.841285   5.608985
11.914318   7.244883
14.249361   8.363450
13.944237   4.758641
17.100146   10.061982
18.003692   10.812721
17.050087   10.449468
2.373380   0.518641
7.628603   4.789750
4.450502   1.617648
6.426384   3.543640
5.291551   0.429223
9.349607   6.718923
13.105549   8.804532
8.073050   5.613835
15.287431   10.033249
14.962882   9.551262
7.704305   4.408248
12.207364   3.991424
15.857618   10.644346
15.683438   10.235057
9.910959   5.629428
14.944751   8.623498
14.308914   6.973636
5.010815   2.834441
17.002131   10.006975
9.146277   5.446359
15.819752   9.678444
16.904840   10.307386
19.907104   12.929906
9.569433   6.313880
11.786879   7.317167
4.478613   1.488850
11.029312   6.364923
17.410260   10.780434
5.556142   3.084467
10.788054   6.305176
15.793005   11.301218
10.297987   5.399439
6.031078   3.753304
18.656705   11.874543
4.706195   0.682419
10.336499   0.124745
15.555446   10.451829
19.641187   12.662697
7.508564   4.416700
7.191225   2.881864
9.451667   6.034424
9.222287   6.271926
19.769870   11.875671
4.794994   2.746331
5.567026   4.435152
14.613546   8.506159
9.945997   7.129983
9.150694   5.943429
2.600397   1.534178
19.441853   11.343832
2.086139   0.654159
6.051993   3.163700
3.832687   0.488101
16.611932   11.156108
5.429141   4.011590
2.801346   1.768080
8.133563   5.963322
3.061576   0.159489
7.639950   4.224676
16.529770   10.245941
7.069165   4.559361
6.631133   3.759201
10.594114   5.730873
5.487134   0.042826
19.871542   13.381605
7.495421   0.343016
17.063665   10.001471
15.574761   9.775329
5.744716   1.523451
7.342331   -0.096740
19.270109   11.508991
17.855042   11.914743
15.027441   9.823488
17.319613   9.671700
17.772205   11.605184
2.239807   1.015973
14.928491   10.641391
16.529097   10.683941
14.531180   7.145535
2.141421   1.562761
15.404512   10.225556
15.520732   10.168900
14.686990   10.508182
15.776164   10.323011
9.345994   5.426705
15.510441   10.042460
15.707898   10.130581
4.230109   0.499645
7.518965   3.947302
17.656978   10.817407
17.293653   10.274415
17.104401   10.459668
17.414896   10.205500
4.993883   1.189440
19.636094   11.958435
17.059040   10.394762
4.990056   0.647930
17.366541   9.689769
4.957706   1.013797
2.059198   0.711015
12.710852   8.554325
9.426416   6.438189
17.077089   10.270344
2.446201   1.899398
9.920212   6.152686
16.700635   10.173531
16.605382   10.359245
17.381515   9.731933
14.119992   3.864013
16.897309   10.805615
2.392609   0.796410
17.163236   9.710359
2.166896   0.208076
