prn (keVnr) 	 qi (keVee) 
7.053745   3.789625
14.094411   9.537486
4.931793   2.513805
4.537028   1.959769
2.608749   1.612650
16.538460   10.513368
15.371245   9.431711
14.481703   8.127092
18.914195   12.303949
6.496344   4.869185
7.908436   4.161233
18.569851   11.793980
14.028481   8.112852
3.624004   1.901596
7.067478   4.019883
4.473416   2.471980
12.945286   7.321285
10.221307   6.284306
13.118114   7.644079
10.186697   6.038699
16.362879   9.031728
17.353588   10.943988
11.829938   8.051706
3.307835   1.910253
18.536162   12.007833
4.353113   2.054923
12.978852   9.739309
15.001273   8.451440
17.720331   11.199701
6.494267   4.303676
15.376399   9.802213
14.794392   8.546574
7.292977   4.357117
11.953428   6.924401
7.060737   3.880054
6.844505   4.711007
10.347950   6.731709
2.740578   1.406792
9.970790   5.847038
14.770391   10.051156
3.436927   1.754126
18.434098   10.964209
14.611706   8.805084
17.855036   12.575685
10.305016   6.413968
3.727295   2.306557
12.017938   6.820098
4.993307   2.713292
17.081906   11.205667
4.374012   2.766618
11.601429   7.484728
5.388386   3.311442
4.412209   2.421790
2.626707   2.062976
14.306346   8.927971
14.109128   8.516224
16.561226   8.662906
8.171703   4.751509
15.038729   8.842982
7.497563   4.541894
12.923435   7.772113
9.159396   5.916791
12.587140   7.979111
4.751539   2.923290
17.709632   12.415479
14.368206   8.367507
3.503327   2.731586
16.772941   11.439493
2.313027   1.728267
9.506782   6.122381
5.902318   3.265047
2.237835   1.144039
9.802615   5.637335
9.207977   5.338257
12.579158   7.344530
15.278574   8.507821
3.550613   2.048534
9.370078   5.366053
11.068714   7.136511
7.549457   4.089098
7.383789   4.622127
5.413045   3.070117
3.420158   1.986809
18.964504   10.946182
13.455165   8.248174
5.242976   2.807507
12.395774   7.203496
4.785811   2.899200
5.824784   3.592880
12.786219   6.973192
13.554562   8.315570
17.773804   10.963387
4.021815   0.818648
15.561958   9.004654
3.107035   2.046778
9.860556   6.341093
3.202136   1.183071
19.896358   11.793939
12.693506   7.847626
10.867294   6.814011
16.895932   9.896629
8.984904   5.826777
13.460043   1.916731
11.106056   6.982856
14.487734   9.097741
19.241407   11.578439
7.099091   4.723393
17.486417   11.937441
13.132885   4.099078
6.299202   3.305385
6.946194   4.619880
7.795981   4.775256
15.431013   9.916439
18.246273   11.896961
19.530549   11.877952
15.595343   9.958513
3.271401   1.930919
4.965058   3.270249
9.110658   6.291182
2.585207   1.653201
9.209542   4.593169
8.866455   4.952774
18.016679   11.021904
2.543903   1.396892
12.987282   8.055018
10.408500   5.996002
4.230272   2.135925
3.294157   2.486886
2.219045   0.848553
7.778239   5.628615
3.972097   2.411664
8.867132   5.091823
19.723568   12.647209
18.882826   10.608190
2.641736   1.739906
3.003437   1.178243
9.859713   6.844262
19.142052   11.681088
9.596952   5.136399
6.041162   3.689535
7.257131   4.350645
12.701817   6.842221
15.483377   9.779091
7.666735   5.042719
7.362114   4.016066
12.770458   7.468867
13.291554   7.660246
13.353994   8.034649
14.484191   9.249503
10.338167   6.862019
15.377547   9.034446
7.805029   5.665220
8.621703   5.612409
6.030236   3.435292
11.824053   6.148204
9.857827   6.072947
16.907614   11.681941
15.038927   9.339968
8.893426   6.590302
4.563100   2.646620
11.525543   7.484736
9.700961   6.055435
2.271174   0.314984
8.911608   5.573127
18.774494   13.043288
2.149221   -0.279631
4.066479   2.270468
9.357149   5.430344
18.721299   11.824677
12.849823   7.780342
9.147831   5.049841
2.477695   0.496053
6.066276   3.635419
5.163263   2.918736
16.810096   10.652853
17.003669   11.785464
3.349674   1.835268
11.046281   6.481941
10.499788   6.091026
16.733915   11.434467
8.183057   4.805035
18.572545   11.797988
8.019813   3.170026
2.165464   -0.216692
2.920429   0.480913
2.148022   -0.020018
10.800234   5.801655
10.936149   6.187595
9.440885   6.029586
16.098606   10.514646
2.059482   -0.032830
4.354506   2.756291
19.915129   12.256977
18.097999   11.506463
3.982548   2.376344
9.669909   6.757597
2.917852   2.087518
2.211767   0.026792
4.300192   0.512414
2.498968   0.746621
3.916037   0.038452
2.648307   0.129750
15.875358   9.668636
17.786587   10.761467
3.285165   0.344006
2.413010   0.036973
3.761237   0.341301
14.213127   9.761511
16.279319   9.542462
15.566470   9.273792
2.018916   0.043906
15.793885   10.686575
18.577078   11.349499
2.906772   0.333904
9.233563   5.581140
3.130026   1.574881
14.778073   8.970951
17.058278   10.596759
8.872200   4.927728
2.859386   1.669016
16.198966   10.338045
14.874189   8.908885
19.026689   13.076102
17.651956   11.335650
11.718897   7.438538
10.845264   6.721874
2.099177   0.158040
2.166390   1.232564
12.505322   7.252316
11.216338   6.011596
8.518234   4.998212
2.897962   1.384800
17.579691   12.226050
16.803486   9.815400
5.847557   3.542678
9.188816   5.524635
16.411274   8.990616
18.841381   0.386758
16.829039   8.379838
13.626441   6.995803
16.388875   10.528594
4.124410   2.083337
12.650445   7.859622
12.139979   8.157903
15.585422   9.855996
12.638431   6.994253
2.747180   0.634399
3.362876   1.937418
17.103696   12.799611
8.955247   5.080186
15.194200   8.261714
6.565652   4.004621
15.028980   9.335998
2.174339   0.005837
10.453930   6.732727
10.659759   6.236931
8.471583   5.085142
8.292785   5.006845
19.155883   13.480923
17.455699   10.642872
11.647447   6.369940
18.120624   10.732457
2.112808   0.926573
2.194672   1.255407
14.676746   8.963869
16.305472   10.198424
10.056921   5.396282
2.883312   1.692384
16.105391   8.965087
11.364932   6.703779
4.408813   2.259634
8.962172   4.814163
2.986988   1.938063
13.639206   7.958536
13.225344   7.185859
7.766873   4.434014
11.271893   6.839272
16.599032   10.845150
11.569636   6.502324
7.098563   4.108056
2.600106   1.694932
18.097763   12.650266
17.231046   5.351795
11.077986   6.346973
2.952442   1.038338
7.376858   5.224175
17.034563   10.391731
2.707874   1.521941
9.924046   6.239064
5.239748   3.553517
9.459546   5.889490
7.194422   4.054118
18.179681   11.458827
12.774568   8.088858
12.715649   8.523657
5.453967   3.177955
19.445158   11.346363
9.391464   5.725550
10.432488   5.958263
2.554506   1.411166
11.758784   7.129490
8.899348   4.556309
6.225715   3.795135
6.622143   2.624740
4.944775   3.233603
14.920083   10.130510
2.076754   1.311540
4.759339   2.628625
10.018157   6.973832
14.033619   9.055660
